"","Image","Name","Odds","State"
"1","https://az620379.vo.msecnd.net/images/Contracts/small_8127a87c-6a0f-4e86-bbcc-5cf87ccec70b.png","Will Republicans control the Senate after 2018?",0.63,"all"
"2","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arizona.svg/1200px-Flag_of_Arizona.svg.png","Will the Democratic party win the Arizona U.S. Senate election in 2018?",0.69,"arizona"
"3","https://az620379.vo.msecnd.net/images/Contracts/small_7bfb3987-4306-4589-96af-5085a4a574dc.png","Will Dianne Feinstein be re-elected to the U.S. Senate in California in 2018?",0.77,"california"
"4","https://pbs.twimg.com/profile_images/871076844904361985/7NorOQHB_400x400.jpg","Will Chris Murphy be re-elected to the U.S. Senate in Connecticut in 2018?",1,"connecticut"
"5","https://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_400x400.jpeg","Will Tom Carper be re-elected to the U.S. Senate in Delaware in 2018?",1,"delaware"
"6","https://az620379.vo.msecnd.net/images/Contracts/small_fdba4862-232e-40a3-92d1-df5b4de2f0fd.png","Will Bill Nelson be re-elected to the U.S. Senate in Florida in 2018?",0.62,"florida"
"7","https://pbs.twimg.com/profile_images/943313772785164288/svG7qRs8_400x400.jpg","Will Mazie Hirono be re-elected to the U.S. Senate in Hawaii in 2018?",1,"hawaii"
"8","https://az620379.vo.msecnd.net/images/Contracts/small_40abbe7c-ec83-4666-b2f0-495928c697b2.png","Will Joe Donnelly be re-elected to the U.S. Senate in Indiana in 2018?",0.52,"indiana"
"9","https://az620379.vo.msecnd.net/images/Contracts/small_476c972a-ff4d-4057-ae78-982f7b6d6e4d.png","Will Angus King be re-elected to the U.S. Senate in Maine in 2018?",0.9,"maine"
"10","https://pbs.twimg.com/profile_images/931526777410850816/jYej2QIV_400x400.jpg","Will Ben Cardin be re-elected to the U.S. Senate in Maryland in 2018?",1,"maryland"
"11","https://az620379.vo.msecnd.net/images/Contracts/small_f5dfa04c-54e9-471f-b8f5-df8c20b37786.jpg","Will Elizabeth Warren be re-elected to the U.S. Senate in Massachusetts in 2018?",0.87,"massachusetts"
"12","https://az620379.vo.msecnd.net/images/Contracts/small_a75d7d65-c4ce-4bd2-b4c8-23d9581e27fc.png","Will Debbie Stabenow be re-elected to the U.S. Senate in Michigan in 2018?",0.83,"michigan"
"13","https://az620379.vo.msecnd.net/images/Contracts/small_6a8e653d-8c2c-4d1f-97b4-325f3f8cd611.png","Will Tina Smith be elected to the U.S. Senate in Minnesota in 2018?",0.71,"minnesota"
"14","https://pbs.twimg.com/profile_images/1815362035/AJK_Twitter_400x400.jpg","Will Amy Klobuchar be re-elected to the U.S. Senate in Minnesota in 2018?",1,"minnesota"
"15","https://www.gettysburgflag.com/media/catalog/product/cache/2/small_image/460x368/9df78eab33525d08d6e5fb8d27136e95/m/i/mississippi_1.jpg","Will the Republican party win the Mississippi U.S. Senate special election in 2018?",0.26,"mississippi"
"16","https://pbs.twimg.com/profile_images/694231794602872832/UdbuYlbe_400x400.jpg","Will Roger Wicker be re-elected to the U.S. Senate in Mississippi in 2018?",0,"mississippi"
"17","https://az620379.vo.msecnd.net/images/Contracts/small_48727e06-9ca0-4d3f-b7d4-01f472e1330f.png","Will Claire McCaskill be re-elected to the U.S. Senate in Missouri in 2018?",0.51,"missouri"
"18","https://az620379.vo.msecnd.net/images/Contracts/small_2bd469c5-3161-4a0f-a960-b9dcb21cf9ab.png","Will Jon Tester be re-elected to the U.S. Senate in Montana in 2018?",0.62,"montana"
"19","https://az620379.vo.msecnd.net/images/Contracts/small_939958dd-4703-426d-a14a-64d549bdb4e5.png","Will Deb Fischer be re-elected to the U.S. Senate in Nebraska in 2018?",0.23,"nebraska"
"20","https://az620379.vo.msecnd.net/images/Contracts/small_57357210-6916-4663-910d-880fa2387f6e.png","Will Dean Heller be re-elected to the U.S. Senate in Nevada in 2018?",0.7,"nevada"
"21","https://az620379.vo.msecnd.net/images/Contracts/small_b5355e3b-1bbe-4dac-9671-fc0530de76c7.png","Will Bob Menendez be re-elected to the U.S. Senate in New Jersey in 2018?",0.85,"new jersey"
"22","https://az620379.vo.msecnd.net/images/Contracts/small_be0068fa-f71d-482c-91d1-a3d61fc432b9.png","Will Martin Heinrich be re-elected to the U.S. Senate in New Mexico in 2018?",0.91,"new mexico"
"23","https://pbs.twimg.com/profile_images/828637094260121600/VpJGxC8b_400x400.jpg","Will Tim Kaine be re-elected to the U.S. Senate in Virginia in 2018?",1,"new york"
"24","https://az620379.vo.msecnd.net/images/Contracts/small_35f100f1-50a3-4854-ada6-b87d97445f53.png","Will Heidi Heitkamp be re-elected to the U.S. Senate in North Dakota in 2018?",0.45,"north dakota"
"25","https://az620379.vo.msecnd.net/images/Contracts/small_83270bfe-ed15-40bb-8ba8-a98a8dc524a1.png","Will Sherrod Brown be re-elected to the U.S. Senate in Ohio in 2018?",0.79,"ohio"
"26","https://az620379.vo.msecnd.net/images/Contracts/small_8c78475e-3a00-49e2-9e5d-edb9b6077822.png","Will Bob Casey be re-elected to the U.S. Senate in Pennsylvania in 2018?",0.85,"pennsylvania"
"27","https://pbs.twimg.com/profile_images/378800000051321410/55ff7ed4f6264c8eec19a81a66be6bb0_400x400.png","Will Sheldon Whitehouse be re-elected to the U.S. Senate in Rhode Island in 2018?",1,"rhode island"
